Time_Indices,Ring_Finger,Index_Finger,Thumb,Pinky
1,74,75,10,0
2,84,90,9,0
3,90,90,9,0
4,90,90,18,0
5,90,90,8,0
6,90,90,10,0
7,90,90,7,0
8,90,90,14,0
9,90,90,9,0
10,90,90,16,0
11,90,90,15,0
12,90,90,17,0
13,90,90,11,0
14,90,90,12,0
15,90,90,13,0
16,90,90,17,0
17,90,90,17,0
18,90,90,18,0
19,90,90,15,0
20,90,90,11,0
21,78,81,13,0
22,48,47,4,0
23,29,31,11,0
24,20,10,5,0
25,32,18,9,0
26,87,80,9,0
27,90,90,9,0
28,90,90,5,0
29,90,90,5,0
30,90,90,9,0
31,90,90,8,0
32,90,90,10,0
33,90,90,15,0
34,90,90,16,0
35,90,90,16,0
36,90,90,12,0
37,90,90,19,0
38,90,90,25,0
39,90,90,18,0
40,90,90,15,0
41,90,90,12,0
42,90,90,17,0
43,90,90,8,0
44,90,90,9,0
45,90,90,9,0
46,84,86,8,0
47,64,53,5,0
48,45,32,9,0
49,34,19,13,0
50,31,19,8,0
51,38,20,6,0
52,53,21,6,0
53,76,10,6,0
54,90,7,7,0
55,90,13,4,0
56,90,17,6,0
57,90,13,6,0
58,90,8,3,0
59,90,14,10,0
60,90,15,5,0
61,90,24,6,0
62,90,60,4,0
63,90,90,5,0
64,90,90,4,0
65,90,90,5,0
66,90,90,3,0
67,90,90,3,0
68,90,90,3,0
69,90,90,8,0
70,90,90,52,0
71,90,90,80,0
72,90,90,81,0
73,90,90,57,0
74,90,90,55,0
75,90,90,32,0
76,90,86,30,0
77,90,90,20,0
78,90,90,26,0
79,90,90,27,0
80,90,90,21,0
81,90,83,17,0
82,71,47,19,0
83,56,35,18,0
84,54,36,45,0
85,60,51,74,0
86,62,65,90,0
87,64,68,90,0
88,66,72,90,0
89,68,74,90,0
90,74,80,90,0
91,74,90,90,0
92,80,90,90,0
93,80,90,90,0
94,76,90,87,0
95,62,59,65,0
96,42,36,42,0
97,30,27,36,0
98,30,27,35,0
99,80,57,35,0
100,90,90,32,0
