Time_Indices,Ring_Finger,Index_Finger,Thumb,Pinky
1,51,41,0,33
2,51,41,0,32
3,51,41,0,32
4,52,41,0,33
5,51,41,0,33
6,51,41,0,32
7,51,41,0,32
8,51,41,0,32
9,51,40,0,32
10,51,40,0,31
11,51,40,0,32
12,51,40,0,31
13,51,40,0,31
14,51,40,0,32
15,51,41,0,31
16,52,41,0,34
17,52,40,0,32
18,53,40,0,33
19,52,40,0,31
20,52,40,0,31
21,52,40,0,31
22,51,39,0,28
23,49,40,0,27
24,52,39,0,30
25,54,40,0,34
26,54,40,0,36
27,55,41,0,38
28,55,42,0,39
29,55,43,0,37
30,55,43,0,37
31,55,40,0,30
32,52,35,0,26
33,51,34,0,22
34,46,30,0,14
35,43,30,0,12
36,43,31,0,12
37,42,31,0,13
38,45,32,0,18
39,45,33,0,19
40,45,34,0,21
41,42,31,0,18
42,40,30,0,17
43,40,30,0,16
44,40,28,0,17
45,38,27,0,15
46,38,28,0,17
47,38,29,0,16
48,38,28,0,14
49,40,28,0,15
50,43,33,0,26
51,46,35,0,27
52,43,33,0,22
53,41,31,0,18
54,40,32,0,19
55,40,32,0,22
56,41,32,0,23
57,40,32,0,22
58,40,32,0,22
59,40,32,0,22
60,41,32,0,22
61,41,32,0,23
62,41,32,0,22
63,41,32,0,22
64,41,32,0,23
65,40,32,0,22
66,40,32,0,21
67,40,32,0,21
68,40,32,0,20
69,40,32,0,19
70,40,32,0,18
71,40,32,0,18
72,40,32,0,18
73,40,32,0,18
74,38,31,0,18
75,40,30,0,18
76,42,31,0,18
77,45,32,0,18
78,47,32,0,18
79,45,31,0,16
80,46,32,0,18
81,47,36,0,20
82,46,34,0,21
83,42,32,0,18
84,42,32,0,20
85,43,32,0,22
86,43,32,0,26
87,47,32,0,31
88,43,32,0,28
89,42,34,0,30
90,43,36,0,32
91,47,36,0,38
92,45,35,0,33
93,43,35,0,29
94,42,35,0,28
95,42,35,0,27
96,42,35,0,27
97,42,35,0,27
98,41,34,0,25
99,41,34,0,24
100,41,33,0,24
