Time,Upper_Arm_Length,Upper_Arm_Phi,Upper_Arm_Theta,Forearm_Arm_Length,Forearm_Phi,Forearm_Theta,Hand_Arm_Length,Hand_Phi,Hand_Theta,Time_Indices
0,2,85,-58.06515934,1.5,5,-58.06515934,0.5,-20,-58.06515934,1
0.099999905,2,179.5951762,-57.25294398,1.5,179.5951762,-57.25294398,0.5,179.5951762,-57.25294398,2
0.200000048,2,173.8844769,-54.03231854,1.5,173.8844769,-54.03231854,0.5,173.8844769,-54.03231854,3
0.299999952,2,173.5062274,-48.51808484,1.5,173.5062274,-48.51808484,0.5,173.5062274,-48.51808484,4
0.399999857,2,171.7276708,-41.92002648,1.5,171.7276708,-41.92002648,0.5,171.7276708,-41.92002648,5
0.5,2,160.0517726,-36.49518972,1.5,160.0517726,-36.49518972,0.5,160.0517726,-36.49518972,6
0.599999905,2,148.169951,-31.57622408,1.5,148.169951,-31.57622408,0.5,148.169951,-31.57622408,7
0.700000048,2,143.2996038,-29.55972684,1.5,143.2996038,-29.55972684,0.5,143.2996038,-29.55972684,8
0.799999952,2,143.1303575,-31.28650453,1.5,143.1303575,-31.28650453,0.5,143.1303575,-31.28650453,9
0.899999857,2,148.7545438,-34.8712576,1.5,148.7545438,-34.8712576,0.5,148.7545438,-34.8712576,10
1,2,153.6453294,-40.73270396,1.5,153.6453294,-40.73270396,0.5,153.6453294,-40.73270396,11
1.099999905,2,160.8299698,-47.17840813,1.5,160.8299698,-47.17840813,0.5,160.8299698,-47.17840813,12
1.200000048,2,163.2957309,-55.04523218,1.5,163.2957309,-55.04523218,0.5,163.2957309,-55.04523218,13
1.299999952,2,161.9990155,-62.44666422,1.5,161.9990155,-62.44666422,0.5,161.9990155,-62.44666422,14
1.399999857,2,164.8031294,-69.47311888,1.5,164.8031294,-69.47311888,0.5,164.8031294,-69.47311888,15
1.5,2,164.2959503,-73.00916928,1.5,164.2959503,-73.00916928,0.5,164.2959503,-73.00916928,16
1.599999905,2,165.3919219,-73.45972271,1.5,165.3919219,-73.45972271,0.5,165.3919219,-73.45972271,17
1.700000048,2,164.149942,-70.44503431,1.5,164.149942,-70.44503431,0.5,164.149942,-70.44503431,18
1.799999952,2,160.8828856,-63.49081573,1.5,160.8828856,-63.49081573,0.5,160.8828856,-63.49081573,19
1.899999857,2,157.2025824,-55.45849961,1.5,157.2025824,-55.45849961,0.5,157.2025824,-55.45849961,20
2,2,151.7085856,-45.3267336,1.5,151.7085856,-45.3267336,0.5,151.7085856,-45.3267336,21
2.099999905,2,146.4513096,-36.11520922,1.5,146.4513096,-36.11520922,0.5,146.4513096,-36.11520922,22
2.200000048,2,138.0084506,-28.93362731,1.5,138.0084506,-28.93362731,0.5,138.0084506,-28.93362731,23
2.299999952,2,132.7301764,-27.37996417,1.5,132.7301764,-27.37996417,0.5,132.7301764,-27.37996417,24
2.399999857,2,128.9809988,-30.52630448,1.5,128.9809988,-30.52630448,0.5,128.9809988,-30.52630448,25
2.5,2,127.7605772,-37.52783577,1.5,127.7605772,-37.52783577,0.5,127.7605772,-37.52783577,26
2.599999905,2,138.834664,-54.21101678,1.5,138.834664,-54.21101678,0.5,138.834664,-54.21101678,27
2.700000048,2,153.1860264,-71.75920368,1.5,153.1860264,-71.75920368,0.5,153.1860264,-71.75920368,28
2.799999952,2,178.1525926,-86.06226867,1.5,178.1525926,-86.06226867,0.5,178.1525926,-86.06226867,29
2.899999857,2,178.0425615,-94.44280833,1.5,178.0425615,-94.44280833,0.5,178.0425615,-94.44280833,30
3,2,201.4630924,-100.4525347,1.5,201.4630924,-100.4525347,0.5,201.4630924,-100.4525347,31
3.099999905,2,193.3616658,-104.2666079,1.5,193.3616658,-104.2666079,0.5,193.3616658,-104.2666079,32
3.200000048,2,180.8591343,-106.3714195,1.5,180.8591343,-106.3714195,0.5,180.8591343,-106.3714195,33
3.299999952,2,170.7453701,-108.4082776,1.5,170.7453701,-108.4082776,0.5,170.7453701,-108.4082776,34
3.399999857,2,159.2893941,-107.2311013,1.5,159.2893941,-107.2311013,0.5,159.2893941,-107.2311013,35
3.5,2,134.5157323,-103.9776705,1.5,134.5157323,-103.9776705,0.5,134.5157323,-103.9776705,36
3.599999905,2,101.4466197,-99.50599341,1.5,101.4466197,-99.50599341,0.5,101.4466197,-99.50599341,37
3.700000048,2,71.80989021,-93.79547032,1.5,71.80989021,-93.79547032,0.5,71.80989021,-93.79547032,38
3.799999952,2,56.25182512,-87.04315214,1.5,56.25182512,-87.04315214,0.5,56.25182512,-87.04315214,39
3.899999857,2,55.05226188,-76.98781595,1.5,55.05226188,-76.98781595,0.5,55.05226188,-76.98781595,40
4,2,85.16859269,-57.61282323,1.5,85.16859269,-57.61282323,0.5,85.16859269,-57.61282323,41
4.099999905,2,127.3900271,-36.70227764,1.5,127.3900271,-36.70227764,0.5,127.3900271,-36.70227764,42
4.200000048,2,164.6309433,-21.43260086,1.5,164.6309433,-21.43260086,0.5,164.6309433,-21.43260086,43
4.299999952,2,179.1213145,-16.7289945,1.5,179.1213145,-16.7289945,0.5,179.1213145,-16.7289945,44
4.399999857,2,190.247337,-20.2866488,1.5,190.247337,-20.2866488,0.5,190.247337,-20.2866488,45
4.5,2,191.6988799,-28.25121115,1.5,191.6988799,-28.25121115,0.5,191.6988799,-28.25121115,46
4.599999905,2,170.4662326,-41.56526646,1.5,170.4662326,-41.56526646,0.5,170.4662326,-41.56526646,47
4.700000048,2,159.7758549,-59.48947918,1.5,159.7758549,-59.48947918,0.5,159.7758549,-59.48947918,48
4.799999952,2,128.4960779,-79.12689459,1.5,128.4960779,-79.12689459,0.5,128.4960779,-79.12689459,49
4.899999857,2,132.1686817,-90.86490253,1.5,132.1686817,-90.86490253,0.5,132.1686817,-90.86490253,50
