Time_Indices,Ring_Finger,Index_Finger,Thumb,Pinky
1,24,11,29,23
2,46,18,45,42
3,64,25,58,61
4,74,38,68,73
5,83,52,76,86
6,90,63,82,90
7,90,76,87,90
8,90,83,90,90
9,90,90,90,90
10,90,90,90,90
11,90,90,90,90
12,90,90,90,90
13,90,90,90,90
14,90,90,90,90
15,90,90,90,90
16,90,90,90,90
17,90,90,90,90
18,90,90,90,90
19,90,90,90,90
20,90,90,90,90
21,90,90,90,90
22,90,90,90,90
23,90,90,90,90
24,90,90,90,90
25,90,90,90,90
26,90,90,90,90
27,90,90,90,90
28,90,90,90,90
29,90,90,90,90
30,90,90,90,90
31,90,90,90,90
32,90,90,90,90
33,90,90,90,90
34,90,78,87,90
35,87,68,76,89
36,81,61,67,82
37,73,53,60,76
38,66,47,54,69
39,60,42,48,62
40,53,31,43,57
41,45,21,36,51
42,34,11,27,43
43,22,3,16,31
44,11,1,8,18
45,1,0,1,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,4,0
60,3,0,7,0
61,14,0,10,0
62,34,1,15,14
63,49,5,24,32
64,61,8,33,55
65,71,11,41,70
66,78,13,46,78
67,83,16,50,80
68,86,16,49,79
69,90,16,45,79
70,90,17,44,77
71,90,17,44,75
72,90,18,43,68
73,90,16,41,61
74,90,15,42,59
75,90,15,41,59
76,90,12,41,59
77,90,11,40,59
78,90,10,39,58
79,90,8,37,56
80,90,8,36,54
81,90,8,35,51
82,90,7,34,48
83,90,7,33,44
84,90,7,32,41
85,90,7,31,37
86,90,6,28,32
87,90,3,26,29
88,90,2,24,24
89,90,2,21,20
90,90,1,20,15
91,90,1,19,11
92,90,1,18,7
93,90,1,17,2
94,90,1,17,0
95,90,1,17,0
96,90,1,16,0
97,90,2,16,0
98,90,2,16,0
99,90,2,16,0
100,90,2,16,0
101,90,2,16,0
102,90,2,16,0
103,90,1,16,0
104,90,1,16,0
105,90,0,16,0
106,90,0,13,0
107,80,0,11,12
108,62,1,8,15
109,47,7,4,13
110,26,13,1,8
111,10,17,0,2
112,2,18,0,0
113,0,17,0,0
114,0,12,0,0
115,0,8,0,0
116,0,6,0,0
117,0,3,0,0
118,0,2,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,5,0,0
124,0,23,0,0
125,0,46,0,0
126,0,61,0,0
127,0,72,0,0
128,0,82,0,0
129,0,88,0,0
130,0,90,0,0
131,0,90,0,0
132,0,90,0,0
133,0,90,0,0
134,0,90,0,0
135,0,90,0,0
136,0,90,0,0
137,0,90,0,0
138,0,90,0,0
139,0,90,0,0
140,0,90,0,0
141,0,90,0,0
142,0,90,0,0
143,0,90,0,0
144,0,90,0,0
